learning_rate,batch_size,weight_decay,epochs,val_accuracy,val_f1_score
5e-05,8,0.01,4,0.8174655285620486,0.7811023622047244
5e-05,8,0.01,6,0.8108995403808273,0.7563451776649747
5e-05,8,0.01,8,0.8010505581089954,0.7699316628701595
5e-05,8,0.05,4,0.8384766907419566,0.799347471451876
5e-05,8,0.05,6,0.8082731451083388,0.7871720116618076
5e-05,8,0.05,8,0.8030203545633617,0.7713414634146342
5e-05,8,0.1,4,0.8115561391989494,0.787249814677539
5e-05,8,0.1,6,0.8168089297439265,0.7825409197194076
5e-05,8,0.1,8,0.8076165462902167,0.7744418783679754
5e-05,8,0.15,4,0.8266579120157583,0.7807308970099668
5e-05,8,0.15,6,0.7892317793827971,0.7658643326039387
5e-05,8,0.15,8,0.7859487852921865,0.7684659090909091
5e-05,8,0.2,4,0.8128693368351937,0.7799227799227799
5e-05,8,0.2,6,0.8069599474720945,0.7755725190839695
5e-05,8,0.2,8,0.793827971109652,0.7691176470588236
5e-05,16,0.01,4,0.8253447143795141,0.7934782608695652
5e-05,16,0.01,6,0.7984241628365069,0.7780187997107737
5e-05,16,0.01,8,0.8168089297439265,0.7832167832167832
5e-05,16,0.05,4,0.8187787261982928,0.7940298507462686
5e-05,16,0.05,6,0.8069599474720945,0.7713841368584758
5e-05,16,0.05,8,0.8168089297439265,0.7804878048780488
5e-05,16,0.1,4,0.8286277084701248,0.7987663839629915
5e-05,16,0.1,6,0.8108995403808273,0.774294670846395
5e-05,16,0.1,8,0.7997373604727511,0.7715355805243446
5e-05,16,0.15,4,0.8286277084701248,0.7965705378020265
5e-05,16,0.15,6,0.8161523309258043,0.78125
5e-05,16,0.15,8,0.7872619829284307,0.7624633431085044
5e-05,16,0.2,4,0.8089297439264609,0.7925873129009265
5e-05,16,0.2,6,0.8312541037426132,0.7925746569814366
5e-05,16,0.2,8,0.8128693368351937,0.7852298417483045
5e-05,32,0.01,4,0.8154957321076822,0.7891972993248312
5e-05,32,0.01,6,0.8338804990151018,0.7967871485943775
5e-05,32,0.01,8,0.8227183191070256,0.7903726708074534
5e-05,32,0.05,4,0.8076165462902167,0.7824795842613215
5e-05,32,0.05,6,0.8154957321076822,0.7721005677210057
5e-05,32,0.05,8,0.7984241628365069,0.7683018867924528
5e-05,32,0.1,4,0.8253447143795141,0.7996987951807228
5e-05,32,0.1,6,0.8214051214707814,0.7809983896940419
5e-05,32,0.1,8,0.8168089297439265,0.7759036144578313
5e-05,32,0.15,4,0.8286277084701248,0.7890056588520614
5e-05,32,0.15,6,0.8253447143795141,0.7950693374422187
5e-05,32,0.15,8,0.8214051214707814,0.7663230240549829
5e-05,32,0.2,4,0.8200919238345371,0.7901990811638591
5e-05,32,0.2,6,0.8128693368351937,0.7865168539325843
5e-05,32,0.2,8,0.8023637557452397,0.7814088598402323
